"address","source_path","ghidra_name","original_name_status","signature","objective_verdict","code_sha256"
"10001010","src/functions/10001010.cpp","FUN_10001010","auto-generated-address-label","void * __thiscall FUN_10001010(void * this, byte param_1)","PASS","3ae677bb2c2d024c2853ce518f6cd8c38ea403d7c298e7131c4ac6d0dcd920e2"
"10001040","src/functions/10001040.cpp","FUN_10001040","auto-generated-address-label","undefined __cdecl FUN_10001040(char * param_1)","PASS","16ff7454fdb2909d62849f8b3fc8f79f81c7013ff2d75835ce3b91461ffec159"
"10001350","src/functions/10001350.cpp","FUN_10001350","auto-generated-address-label","undefined __stdcall FUN_10001350(void)","PASS","fb376a262c20d8792bf8bcbd87accfa65d0c0e57815d6d029509307d41f6d4d0"
"100013e0","src/functions/100013e0.cpp","FUN_100013e0","auto-generated-address-label","undefined __stdcall FUN_100013e0(void)","PASS","0243121fc527e3014e3ecf0aa7bfc61e0ac567259427838f4abdf563beb8c686"
"10001430","src/functions/10001430.cpp","FUN_10001430","auto-generated-address-label","undefined __stdcall FUN_10001430(char * param_1, undefined4 param_2)","PASS","ac0ceb4ebdaec4f675e88a47e3aee7e1c5122214247ae540ef56844d67839847"
"100014a0","src/functions/100014a0.cpp","FUN_100014a0","auto-generated-address-label","void * __thiscall FUN_100014a0(void * this, exception * param_1)","PASS","60567dd4483a04b7cd175920df31047b0f6df11c536c2dfb8d0d9aff67ec7ae2"
"100014c0","src/functions/100014c0.cpp","FUN_100014c0","auto-generated-address-label","undefined __cdecl FUN_100014c0(char * param_1)","PASS","e9812472c16cc1a72ebd9900f1098c2cd90dd8c3becfde6ed36e1579b02c8757"
"10001520","src/functions/10001520.cpp","FUN_10001520","auto-generated-address-label","FILE * __stdcall FUN_10001520(void)","PASS","316b3a222cac862727ccc48169eed4540337951cc356f3989a3dee30ebb802f4"
"10001590","src/functions/10001590.cpp","FUN_10001590","auto-generated-address-label","int __cdecl FUN_10001590(undefined4 param_1)","PASS","31a970de95c835bc499ad631258cb102efa182185daccf5b7fc2f119b2e279b9"
"10001630","src/functions/10001630.cpp","FUN_10001630","auto-generated-address-label","int __stdcall FUN_10001630(void)","PASS","3d2d87a6b04107c883fd8946438bc6130d9c59072cb436dfb561bddeec88ce3c"
"10001730","src/functions/10001730.cpp","FUN_10001730","auto-generated-address-label","undefined __stdcall FUN_10001730(void)","PASS","53426b9e54e8955480f85d9f446dcc4150e0937ace2cdd6c110c31512f20fa8d"
"10001770","src/functions/10001770.cpp","FUN_10001770","auto-generated-address-label","undefined __stdcall FUN_10001770(void)","PASS","df4359f3cbc29e5b1713036940ff00a628593291542606bd733e76a627768ee1"
"100018a0","src/functions/100018a0.cpp","FUN_100018a0","auto-generated-address-label","int __cdecl FUN_100018a0(undefined4 param_1)","PASS","24ba0bc50c620df89b38ee17085f62e0e7c24e18be47026aea1e6c67cd9fb777"
"10001980","src/functions/10001980.cpp","FUN_10001980","auto-generated-address-label","int * __cdecl FUN_10001980(int * param_1, undefined4 param_2)","PASS","44a2622884992db9788f30520ec50e9053ffaa024956a4f529939b54464828cb"
"10001ad0","src/functions/10001ad0.cpp","FUN_10001ad0","auto-generated-address-label","undefined __cdecl FUN_10001ad0(int param_1)","PASS","d675cb21d80a8c9c0226b57bc5ad47630dd9eb040898fdbb7568e6d8b2bd460f"
"10001b00","src/functions/10001b00.cpp","FUN_10001b00","auto-generated-address-label","int __cdecl FUN_10001b00(int param_1)","PASS","e557e022c0b23f7fc6aa07f1ca5109f0c69419518c6bd686af7906ad2a49e416"
"10001b30","src/functions/10001b30.cpp","FUN_10001b30","auto-generated-address-label","int __cdecl FUN_10001b30(int param_1, int param_2)","PASS","106552b9f9de2afc908d1df584772ffd284bf0c9154496402af6b54d992ef449"
"10001b90","src/functions/10001b90.cpp","FUN_10001b90","auto-generated-address-label","undefined4 __cdecl FUN_10001b90(LPCSTR param_1, undefined * param_2)","PASS","bc9beb007947bf7143f7afc08ab0b326439ef198e8b86f0c4b823163229b3089"
"10001db0","src/functions/10001db0.cpp","FUN_10001db0","auto-generated-address-label","undefined4 __stdcall FUN_10001db0(undefined4 param_1, int param_2)","PASS","f0bbc7593db91565ef69d18ee19ca38b91cc08856833e04ff55b4e9d320bb0a5"
"10001e80","src/functions/10001e80.cpp","FUN_10001e80","auto-generated-address-label","undefined __stdcall FUN_10001e80(void)","PASS","728b61e3c04c7a60f142438e7f1e9f106161a949325652997edf3ac1eda358b5"
"10001fb0","src/functions/10001fb0.cpp","FUN_10001fb0","auto-generated-address-label","undefined4 * __cdecl FUN_10001fb0(undefined4 * param_1)","PASS","03e368817207c3f8b2cd9160a4ffa911a6dda08439d7f808aedf4d4f4823f202"
"10002210","src/functions/10002210.cpp","FUN_10002210","auto-generated-address-label","undefined __stdcall FUN_10002210(void)","PASS","fe0054952d97460802bcdb5a45120ad6c9517b80282e75ca6d4e1a3011679ab3"
"10003130","src/functions/10003130.cpp","FUN_10003130","auto-generated-address-label","undefined __cdecl FUN_10003130(int param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6, undefined4 param_7, undefined4 param_8, undefined4 param_9, undefined4 param_10, undefined4 param_11, undefined4 param_12, undefined4 param_13, undefined4 param_14, undefined4 param_15)","PASS","de2790f5dcb02f5ca16cac3e1ece29723880e6620f4261f0b3f3729e3b5f6568"
"10003200","src/functions/10003200.cpp","FUN_10003200","auto-generated-address-label","undefined __cdecl FUN_10003200(undefined4 param_1, int param_2, char param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6, undefined4 param_7, float param_8, undefined4 param_9, undefined4 param_10, undefined4 param_11, undefined4 param_12, undefined4 param_13, undefined4 param_14, undefined4 param_15, undefined4 param_16, undefined4 param_17, undefined4 param_18, undefined4 param_19, undefined4 param_20, undefined4 param_21)","PASS","60d59e61fea3aa01692384c649f0337a536798df91f538b5491940f557d57748"
"10003340","src/functions/10003340.cpp","FUN_10003340","auto-generated-address-label","undefined __cdecl FUN_10003340(undefined4 param_1, int param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6, undefined4 param_7, float param_8, undefined4 param_9, undefined4 param_10, undefined4 param_11, undefined4 param_12, undefined4 param_13, undefined4 param_14, undefined4 param_15, undefined4 param_16, undefined4 param_17, undefined4 param_18, undefined4 param_19, undefined4 param_20, undefined4 param_21)","PASS","65dd22d17a7de58ab34a255d9640dfbbd0a0cddaeb41e7ed788e8b580c74d98f"
"10003400","src/functions/10003400.cpp","FUN_10003400","auto-generated-address-label","undefined __thiscall FUN_10003400(void * this, float * param_1, char param_2)","PASS","4721749ff94b5ddaec832e6150f33320e8901b27edac2523a4b306de9a7e21f2"
"10003660","src/functions/10003660.cpp","FUN_10003660","auto-generated-address-label","undefined __thiscall FUN_10003660(void * this, int param_1)","PASS","4f1a110d5c0b8a72e5b2ffd128d76b4e15f954c4c04a943fe865ee866da45df3"
"10003810","src/functions/10003810.cpp","FUN_10003810","auto-generated-address-label","undefined __cdecl FUN_10003810(char * param_1)","PASS","94dadeee92d4cec010f234f081bd62f315cbdc4e3571ca2a25e0f0e22a6120a4"
"10003ba0","src/functions/10003ba0.cpp","FUN_10003ba0","auto-generated-address-label","undefined __stdcall FUN_10003ba0(void)","PASS","04d5e56b9006d25e36fb11483536a1a11cedbfd6a1017e17d7b48c73ae7f3620"
"10003e60","src/functions/10003e60.cpp","FUN_10003e60","auto-generated-address-label","undefined4 __cdecl FUN_10003e60(undefined4 param_1, int param_2, undefined4 param_3, int param_4)","PASS","4f7c96997f596fda4d8451f7cdd2cd8a876e7c7e6f6c05028bd54e225f44cbed"
